name,description,formula,N,P,K,S,B,Ca,Cu,Fe,Mg,Mn,Zn,obo
alfalfa meal,,,,,,,,,,,,,,
animal dung,,,,,,,,,,,,,,
bagasse,,,,,,,,,,,,,,
biochar,,,,,,,,,,,,,,
blood (dried),acidifying,,13.5,1.309,0.8302,,,,,,,,,
blood meal,acidifying,,15,0.4364,0.8302,,,,,,,,,
bone meal,,,,,,,,,,,,,,
broiler litter,alkaline,,1.5,0.5673,0.4151,0.3,,,,,0.4,,,
cattle dung,acidifying; feedlot manure usually 60-70% water,,1.5,0.6546,0.9962,,,1.1,,,0.3,,,
compost,,,,,,,,,,,,,,
cotton motes (composted gin wastes),acidifying; may contain weed seed,,2,0.2182,2.491,0.6,,4,,,0.7,,,
cottonseed hull ash,alkaline,,0,,22.42,,,,,,,,,
cottonseed meal,acidifying,,6.5,1.091,1.245,,,,,,,,,
dairy manure,,,,,,,,,,,,,,
farmyard manure,,,,,,,,,,,,,,
farmyard manure (dry),,,,,,,,,,,,,,
farmyard manure (wet),,,,,,,,,,,,,,
fish blood and bone,,,,,,,,,,,,,,
fish fertilizer,,,,,,,,,,,,,,
fish scrap (acidulated),acidifying; traces of I and Hg,,8.5,0.6546,0,2,,,,,,,,
fish scrap (dried fish meal),organic,,9,1.309,,,,6,,,,,,
foliage,,,,,,,,,,,,,,
Gliricidia sepium leaves,,,,,,,,,,,,,,
grass hay,acidifying,,1.5,0.2182,1.577,0.2,,0.8,,,0.2,,,
greensand,,,,,,,,,,,,,,
guano,,,,,,,,,,,,,,
hen litter,organic,,,,,,,,,,,,,
hen manure (caged layers),alkaline; average moisture ~70%,,1.8,1.222,1.162,,,,,,,,,
horse manure,,,,,,,,,,,,,,
horse manure (dried),acidifying,,0.4,0.08728,0.2491,,,,,,,,,
leaf litter,,,,,,,,,,,,,,
legume hay,acidifying,,3,0.4364,1.992,0.3,,1.2,,,0.2,,,
liquid manure,,,,,,,,,,,,,,
milorganite,,,,,,,,,,,,,,
none,,,,,,,,,,,,,,
oil cake,,,,,,,,,,,,,,
peat/muck,organic,,2.3,0.2182,0.5811,,,,,,,,,
poultry manure,,,,,,,,,,,,,,
poultry manure (dried),alkaline; average moisture ~20%,,3,1.309,1.66,0.3,,1.8,,,0.4,,,
sawdust,,,,,,,,,,,,,,
sawdust (mixed soft + hard woods),acidifying; high C:N ratio; needs N fertilizer,,0.2,0,0.166,,,,,,,,,
seaweed (dried),organic,,0.7,0.3491,4.151,,,,,,,,,
"sewage sludge (dried, municipal)",alkaline; may contain heavy metals; use only on nonfood-producing areas,,5,2.618,0.4151,1,,3,,,1,,,
sheep manure (dried),acidifying,,0.6,0.1309,0.166,,,,,,,,,
sludge,,,,,,,,,,,,,,
soy meal,,,,,,,,,,,,,,
swine manure (dried),acidifying; average moisture ~37%,,0.6,0.1746,0.08302,,,,,,,,,
tankage,organic,,7,0.6546,5.396,,,,,,,,,
treated sewage sludge,,,,,,,,,,,,,,
unknown,,,,,,,,,,,,,,
vermicompost,,,,,,,,,,,,,,
wood ashes,alkaline; ~70% CaCO3 equivalent,,0,0.8728,4.981,,,20,,,1,,,
worm castings,,,,,,,,,,,,,,
