name,sciname,altname,is_preferred,harvest,group,fresh_moisture,max_yield,FAO_name,agrovoc
abacá,Musa textilis,Manila hemp,yes,leaves,fibre_crops,,,abaca,c_4
abyssinian cabbage,Brassica carinata,,yes,leaves,vegetables,,,brassica carinata,c_33311
adzuki bean,Vigna angularis,,yes,seed,pulses,,,adzuki beans,c_8632
african yam bean,Sphenostylis stenocarpa,,yes,seed,pulses,,,,
agave,Agave spp.,,yes,leaves,fibre_crops,,,agave,c_176
akee,Blighia sapida,,yes,fruit,fruits,,,akees,c_8697
allspice,Pimenta dioica,,yes,,spices,,,allspice,c_19193
almond,Prunus dulcis,,yes,seed,nuts,,,almonds,c_8734
aloe vera,Aloe vera,,yes,leaves,medicinal,,,,
amaranth,Amaranthus sp,,yes,seed; leaves,pseudocereals; vegetables,,,,
anise,Pimpinella anisum,,yes,seed,spices,,,anise,c_8817
annual ryegrass,Festuca perennis,,yes,fodder,,,,,
apple,Malus domestica,,yes,fruit,fruits,,,apples,c_541
apricot,Prunus armeniaca,,yes,fruit,fruits,,,apricots,c_545
arabica coffee,Coffea arabica,,yes,seed,stimulants,,,arabica coffee,c_566
areca nut,Areca catechu,,yes,seed,nuts,,,areca nuts,c_ac0d27db
argan,Argania spinosa,,yes,seed,oil_crops,,,argan,c_32068
artichoke,Cynara cardunculus,,yes,flower,,,,,
asparagus,asparagus officinalis,,yes,stems,vegetables,,,asparagus,c_669
asparagus bean,Vigna unguiculata subsp. sesquipedalis,yardlong bean; pea bean; long-podded cowpea; Chinese long bean; snake bean,yes,seed,pulses,,,asparagus beans,c_670
avocado,Persea americana,,yes,fruit,fruits,,,avocados,c_9022
babassu palm,Attalea speciosa,,yes,seed,oil_crops,,,babassu palm,c_703
bahia grass,Paspalum spp.,,yes,fodder,,,,,
bambara groundnut,Vigna subterranea,,yes,seed,pulses,,5000,bambara groundnut,c_15594
banana,Musa acuminata,,yes,fruit,fruits,,173000,bananas,c_806
barley,Hordeum vulgare,,yes,grain,cereals,,12000,barley,c_823
basil,Ocimum basilicum,,yes,leaves,culinary_herbs,,,basil,c_9093
beetroot,Beta vulgaris,,yes,root,vegetables,,,beetroot,c_867
bell pepper,Capsicum annuum,,yes,fruit,vegetables,,,sweet peppers,c_14727
bergamot orange,Citrus bergamia,,yes,fruit,fruits,,,bergamot orange,c_9233
bermudagrass,Cynodon dactylon,,yes,fodder,,,,,
berseem clover,Trifolium alexandrium,,yes,above_ground,fodder_crops,,,,
bilberry,Vaccinium myrtillus,,yes,fruit,fruits,,,bilberries,c_aeec9b59
bitter gourd,Momordica charantia,,yes,fruit,,,,,
black currant,Ribes nigrum,,yes,fruit,fruits,,,black currants,c_945
black fonio,Digitaria iburua,,yes,grain,cereals,,,,
black gram,Vigna mungo,,yes,seed,pulses,,,,
black mustard,Brassica nigra,,yes,seed,spices,,,,
black salsify,Scorzonera hispanica,,yes,root,vegetables,,,black salsify,c_0f628632
black walnut,Juglans nigra,,yes,fruit,,,,,
blackberry,Rubus spp,,yes,fruit,fruits,,,blackberries,c_947
blue agave,Agave tequilana,,yes,,sugar_crops,,,,
blue lupin,Lupinus angustifolius,,yes,,green_manures,,,,
blueberry,Vaccinium spp.,,yes,fruit,fruits,,,blueberries,c_974
borage,Borago officinalis,,yes,seed,oil_seeds,,,borage seed,c_d2910779
bottle gourd,Lagenaria siceraria,calabash,yes,fruit,,,,,
brachiaria,Brachiaria sp.,,yes,fodder,,,,,
brazil nut,Bertholletia excelsa,,yes,seed,nuts,,,brazil nuts,c_9410
broccoli,Brassica oleracea var. italica,,yes,,vegetables,,,broccoli,c_7339
brown mustard,Brassica juncea,,yes,seed;leaves,spices;vegetables,,,,
brussels sprouts,Brassica oleracea,,yes,,vegetables,,,brussels sprouts,c_1127
buckwheat,Fagopyrum esculentum,,yes,seed,pseudocereals,,,buckwheat,c_9471
butter bean,Phaseolus lunatus,,yes,seed,pulses,,,,
cabbage,Brassica oleracea,,yes,,vegetables,,,cabbages,c_1173
calamansi,Citrus × microcarpa,calamondin,yes,fruit,fruits,,,calamondins,c_15497
camelina,Camelina sativa,,yes,,,,,,
canary grass,Phalaris canariensis,,yes,,fodder_crops,,,,
cantaloupe,Cucumis melo,,yes,fruit,fruits,,,cantaloupes,c_12714
carambola,Averrhoa carambola,star fruit,yes,fruit,fruits,,,carambolas,c_9605
cardamom,Elettaria cardamomum;Amomum subulatum,,yes,seed,spices,,,cardamom,c_9620
cardoon,Cynara cardunculus,artichoke thistle,yes,,vegetables,,,cardoons,c_9623
carinata,Brassica carinata,,yes,,,,,,
carob,Ceratonia siliqua,,yes,seed,pulses,,,carobs,c_9631
carrot,Daucus carota,,yes,,vegetables,,,carrots,c_9640
cashew,Anacardium occidentale,,yes,seed,nuts,,,cashews,c_9647
cassabanana,Sicana odorifera,,yes,fruit,fruits,,,cassabanana,c_972d313c
cassava,Manihot esculenta,,yes,roots; leaves,root_tuber,,90000,cassava,c_9649
castor bean,Ricinus communis,,yes,seed,oil_seeds,,,castor beans,c_18705
catjang,Vigna unguiculata subsp. cylindrica,,yes,seed,pulses,,,catjang,c_1389
cauliflower,Brassica oleracea,,yes,,vegetables,,,cauliflowers,c_1394
celeriac,Apium graveolens var. rapaceum,celery root,yes,,vegetables,,,celeriac,c_1411
celery,Apium graveolens,,yes,stems; leaves; seed,vegetables,,,celery,c_1412
cereal,spp,,no,seed,cereals,,,,
chayote,Sicyos edulis,,yes,fruit,vegetables,,,,
cherimoya,Annona cherimola,,yes,fruit,fruits,,,cherimoyas,c_9761
cherry,Prunus avium; Prunus cerasus,,yes,fruit,fruits,,,cherries,c_1534
chestnut,Castanea sativa,,yes,seed,nuts,,,chestnuts,c_25467
chia,Salvia hispanica,,yes,seed,oil_seeds,,,chia seeds,c_fd182bf3
chickpea,Cicer arientinum,,yes,seed,pulses,,6000,chickpeas,c_9785
chicory,Cichorium intybus,,yes,leaves; root,vegetables,,,chicory,c_9786
chili pepper,Capsicum spp,,yes,fruit,spices,,,chillies,c_9795
chinese cabbage,Brassica rapa,,yes,leaves,,,,,
chinotto,Citrus myrtifolia,,yes,fruit,fruits,,,chinotto,c_66133b33
chives,Allium schoenoprasum,,yes,,vegetables,,,chives,c_9813
cinnamon,Cinnamomum verum,,yes,stem,spices,,,cinnamon,c_9862
citrange,Citrus sp.,,yes,fruit,fruits,,,citranges,c_1629
citron,Citrus medica,,yes,fruit,fruits,,,citrons,c_1632
citrus,Citrus sp.,,no,fruit,fruits,,,citrus fruits,c_1641
clementine,Citrus × clementina,,yes,fruit,fruits,,,clementines,c_9895
clover,Trifolium sp.,,yes,above_ground,fodder_crops,,,clover,c_7910
cloves,Syzygium aromaticum,,yes,flower,spices,,,cloves,c_23597
cochineal nopal cactus,Nopalea cochenillifera,,yes,,,,,,
cockscomb,Celosia argentea,,yes,flower,flowers,,,,
cocoa,Theobroma cacao,,yes,seed,stimulants,,,cocoa beans,c_1711
coconut,Cocos nucifera,,yes,seed,nuts,,,coconuts,c_25470
coffee,Coffea sp.,,yes,seed,stimulants,,,,
common bean,Phaseolus vulgaris,,yes,seed,pulses,,9000,common beans,c_4098
concord grape,Vitis labrusca,,yes,fruit,,,,,
coriander,Coriandrum sativum,,yes,leaves,culinary_herbs,,,coriander,c_10097
cotton,Gossypium hirsutum,,yes,bolls,plant_fibres,,5000,cotton,c_1926
cowpea,Vigna unguiculata,,yes,seed,pulses,,5000,cowpeas,c_1938
crambe,Crambe abyssinica,,yes,,,,,,
cranberry,Vaccinium sp.,,yes,fruit,fruits,,,cranberries,c_1944
crotalaria,Crotalaria spp,,yes,above_ground,green_manures,,2500,crotalaria,c_1977
crowberry,Empetrum nigrum,,yes,fruit,fruits,,,crowberries,c_526caa65
cucumber,Cucumis sativus,,yes,,vegetables,,,cucumbers,c_10195
cumin,Cuminum cyminum,,yes,seed,spices,,,cumin,c_10205
date,Phoenix dactylifera,,yes,fruit,fruits,,,dates,c_25475
dewberry,Rubus sp.,,yes,fruit,fruits,,,dewberries,c_2232
dragon fruit,Selenicereus spp.,,yes,fruit,fruits,,,dragon fruits,c_42ce209e
durian,Durio zibethinus,,yes,fruit,fruits,,,durians,c_10488
durum wheat,Triticum durum,,yes,grain,cereals,,,,
eggplant,Solanum melongena,,yes,fruit,vegetables,,,eggplants,c_8998
endive,Cichorium endivia,,yes,leaves,vegetables,,,endives,c_10596
enset,Ensete ventricosum,,yes,rhizome,root_tuber,,,,
erect prickly pear,Opuntia stricta,,,,,,,,
ethiopian basil,Ocimum lamiifolium,,yes,leaves,medicinal,,,,
faba bean,Vicia faba,,yes,seed,pulses,,6500,faba beans,c_10722
fennel,Foeniculum vulgare,,yes,seed;bulb;leaves,spices,,,,
fenugreek,Trigonella foenum-graecum,,yes,seed,spices,,5500,fenugreek,c_b8cb7919
fiber crop,spp,,no,stems; leaves,fibre_crops,,,fibre crops,c_2876
fig,Ficus carica,,yes,fruit,fruits,,,figs,c_10840
fig-leaf gourd,Cucurbita ficifolia,,yes,fruit,fruits,,,,
finger millet,Eleusine coracana,,yes,grain,cereals,,6000,finger millet,c_2904
flax,Linum usitatissimum,,yes,seed; stems,oil_seeds; fibre_crops,,,flax,c_2970
forage crop,spp,,no,above_ground,fodder_crops,,,forage,c_36108
forage legume,spp,,no,forage,fodder_crops,,,,
foxtail amaranth,Amaranthus caudatus,,yes,seed; leaves,pseudocereals; vegetables,,,,
foxtail millet,Setaria italica,,yes,grain,cereals,,,,
fruit,,,no,,,,,,
garlic,Allium sativum,,yes,tuber,vegetables,,,garlic,c_11091
gesho,Rhamnus prinoides,,yes,leaves,spices,,,,
ginger,Zingiber officinale,,yes,tuber,spices,,,ginger,c_11157
gliricidia,Gliricidia sepium,,yes,wood,fuel,,,,
goji berry,Lycium sp.,,yes,fruit,fruits,,,goji berries,c_caacd4d4
gomenzer,Brassica carinata,,yes,leaves,vegetables,,2300,,
gooseberry,Ribes uva-crispa,,yes,fruit,fruits,,,gooseberries,c_3333
grape,Vitis vinifera,,yes,fruit; seed,fruits,,,grapes,c_3359
grapefruit,Citrus × paradisi,,yes,fruit,fruits,,,grapefruits,c_3358
grass pea,Lathyrus sativus,,yes,seed,pulses,,5000,grass pea,c_4218
green bean,Phaseolus vulgaris,,yes,pods,vegetables,,,green beans,c_f461a9d7
green manure,spp,,no,green manure,green_manures,,,,
green onions,Allium sp.,scallion,yes,leaves,vegetables,,,green onions,c_ffd65b9e
groundnut,Arachis hypogaea,,yes,seed,oil_seeds,,8500,groundnuts,c_11368
guar,Cyamopsis tetragonoloba,,yes,above_ground,fodder_crops,,,guar,c_2051
guava,Psidium guajava,,yes,fruit,fruits,,,guavas,c_11392
guayule,Parthenium argentatum,,yes,,,,,,
guinea grass,Megathyrsus maximus,,yes,fodder,,,,,
guinea yam,Dioscorea cayenensis subsp. cayenensis,yellow yam,yes,tuber,root_tuber,,60000,yams,c_8478
hairy vetch,Vicia villosa Roth,,yes,,,,,,
hazelnut,Corylus avellana,,yes,seed,nuts,,,hazelnuts,c_18248
hemp,Cannabis sativa,,yes,stems,fibre_crops,,,hemp,c_3558
hesperaloe,Hesperaloe spp.,,yes,,,,,,
hops,Humulus lupulus,,yes,fruit,,,,,
horseradish,Armoracia rusticana,,yes,root,spices,,,horseradish,c_11614
jack bean,Canavalia ensiformis,,yes,seed,,,,,
jackfruit,Artocarpus heterophyllus,,yes,fruit,fruits,,80000,jackfruit,c_11864
jatropha,Jatropha curcas,,yes,,,,,,
jerusalem artichoke,Solanum tuberosum,topinambour,yes,tuber,root_tuber,,,jerusalem artichokes,c_11903
jicama,Pachyrhizus erosus,Mexican turnip,,root,root_tuber,,,,
jojoba,Simmondsia chinensis,,yes,seed,oil_seeds,,,jojoba,c_11913
jute,Corchorus olitorius,,yes,fiber,fibre_crops,,,jute,c_4065
kaki,Diospyros kaki,Japanese persimmon,yes,fruit,fruits,,,kaki,c_11934
kale,Brassica oleracea,,yes,leaves,vegetables,,,kales,c_4070
kapok,Bombax sp.,,yes,,fibre_crops,,,kapok,c_16497
kenaf,Hibiscus cannabinus,,yes,,fibre_crops,,,kenaf,c_4084
khat,Catha edulis,chat,yes,leaves,stimulants,,,,
kidney bean,Phaseolus vulgaris,,yes,seed,pulses,,6500,,
kiwi,Actinidia chinensis,Chinese gooseberry,yes,fruit,fruits,,,kiwifruits,c_12002
kohlrabi,Brassica oleracea,,yes,,vegetables,,,kohlrabi,c_4114
kola nut,Cola sp.,,yes,seed,nuts,,10000,kola nuts,c_25471
kumquat,Citrus sp.,,yes,fruit,fruits,,,kumquats,c_22df2056
lablab,Lablab purpureus,hyacinth bean,yes,seed,pulses,,5000,lablab,c_12024
leek,Alllium ampeloprasum,,yes,,vegetables,,,leeks,c_12128
legume,spp,,no,,other,,,,
lemon,Citrus × limon,,yes,fruit,fruits,,,lemons,c_4259
lemon balm,Melissa officinalis,,yes,,culinary_herbs,,,balm,c_25465
lemon grass,Cymbopogon sp,,yes,leaves,culinary_herbs,,,lemon grass,c_41d978c7
lentil,Lens culinaris,,yes,seed,pulses,,7000,lentils,c_12140
lettuce,Lactuca sp.,,yes,,vegetables,,,lettuces,c_12151
liberian coffee,Coffea liberica,,yes,seed,stimulants,,,liberica coffee,c_4308
licorice,Glycyrrhiza sp.,,yes,,,,,,
lima bean,Phaseolus lunatus,,yes,seed,,,,,
lime,Citrus sp.,,yes,fruit,fruits,,,limes,c_4341
limequat,Citrus × floridana,,yes,fruit,fruits,,,limequats,c_4340
lingonberry,Vaccinium vitis-idaea,,yes,fruit,fruits,,,lingonberries,c_ebfdf3a4
lychee,Litchi chinensis,lichi,yes,fruit,fruits,,,litchis,c_12283
little millet,Panicum sumatrense,,yes,grain,cereals,,,little millet,c_cc8f6dca
loganberry,Rubus × loganobaccus,,yes,fruit,fruits,,,loganberries,c_8055f171
longan,Dimocarpus longan,,yes,fruit,fruits,,,longans,c_331528
loquat,Eriobotrya japonica,,yes,fruit,fruits,,,loquats,c_12246
lotus,Nelumbo sp.,,yes,root,root_tuber,,,lotus root,c_d1c9cfce
lucerne,Medicago sativa,alfalfa,yes,above_ground,fodder_crops,,,lucerne,c_4693
lucuma,Lucuma bifera,,yes,fruit,fruits,,,lucumas,c_4456
lupin,Lupinus sp.,,no,,,,,,
macadamia nut,Macadamia sp.,,yes,seed,nuts,,,macadamia nuts,c_12296
mace,Myristica fragrans,,yes,,spices,,,mace,c_25484
maize,Zea mays,,yes,grain,cereals,12,41500,maize,c_12332
mandarin,Citrus reticulata,,yes,fruit,fruits,,,mandarins,c_4568
mango,Mangifera indica,,yes,fruit,fruits,,100000,mangoes,c_12367
mangosteen,Garcinia mangostana,,yes,fruit,fruits,,,mangosteens,c_12368
marigold,Tagetes spp.,,yes,flowers,flowers,,,,
mate,Ilex paraguariensis,,yes,leaves,stimulants,,,mate,c_4647
melon,Cucumis melo,,no,fruit,fruits,,,,
millet,spp,,no,grain,cereals,,,millets,c_4838
mint,Mentha spp.,,yes,leaves,culinary_herbs,,,mint,c_12606
moringa,Moringa stenopetala,,,,,,,,
mulberry,Morus sp.,,yes,fruit,fruits,,,mulberries,c_25487
mung bean,Vigna radiata,,yes,seed,pulses,,,mung beans,c_4988
mushrooms,spp,,yes,,vegetables,,,mushrooms,c_2487
muskmelon,Cucumis melo,,yes,fruit,fruits,,,muskmelons,c_12487
mustard,Brassica sp.,,no,seed,spices,,,mustard seed,c_fd07a050
napa shak,Malva verticillata,,yes,leaves,vegetables,,,,
