name,description,formula,N,P,K,S,B,Ca,Cu,Fe,Mg,Mn,Zn,obo
Agrium Plus,,,16,0,0,40,0,0,0,0,0,0,0,
Ammoniated superphosphate,Ammoniated superphosphate,,14.5,12.44,0,,,,,,0,,,
Ammonium nitrate limestone,Ammonium nitrate limestone,NH4NO3 + (CaCO3 + MgCO3),20,0,0,0,,6,,,4,,,
Ammonium nitrate sulfate,Ammonium nitrate sulfate,NH4NO3 + (NH4)2SO4,30,0,0,5,,0,,,0,,,
Ammonium polyphosphate,Ammonium polyphosphate,(NH4)HP2O7 + (NH4)5P3O10,10,14.84,0,0,,0,,,0,,,
AMo,Ammonium molybdate,(NH4)6Mo7O24. 2H2O,,,,,,,,,,,,
AN,Ammonium nitrate,NH4NO3,34,0,0,0,0,0,0,0,0,0,0,CHEBI_63038
Aqua ammonia,Aqua ammonia,NH4OH,20.5,0,0,0,,0,,,0,,,
ATS,Ammonium nitrate sulfate,(60% solution) (NH4)S2O3,12,0,0,26,0,0,0,0,0,0,0,
basic slag,Basic Slag,,0,1.309,,,,16,,,,,,
Bio-sulphur,,,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,
Borate 48,Borate 48,,,,,,14.9,,,,,,,
Borate Granular,Borate Granular,Na2B4O7.5H2O,,,,,15,,,,,,,
Borax,Borax (sodium tetraborate decahydrate),Na2B4O7. 10H2O,0,0,0,0,11,0,0,0,0,0,0,CHEBI_38892
,,,,,,,,,,,,,,
Boron frit,Boron frit/sodium borosilicate,,,,,,6,,,,,,,
Burned lime,Burned lime,CaO,0,0,0,0,,70,,,0,,,
CaCl2,Calcium chloride,CaCl2,0,0,0,0,0,36.1,0,0,0,0,0,
CaCO3,Calcium carbonate,CaCO3,0,0,0,0,0,0.4,0,0,0,0,0,CHEBI_3311
calcitic-lime,calcitic limestone,CaCO3,0,0,0,0,0,40,0,0,0,0,0,
Calcium borate,Calcium borate (colemanite),Ca2B6O115H2O,,,,,10,,,,,,,
Calcium cyanamide,Calcium cyanamide,CaCN2,21,0,0,0,,11,,,0,,,
Calcium nitrate/urea,Calcium nitrate/urea,(Calurea) Ca(NO3)2 + 4CO(NH2)2,34,0,0,0,,10,,,0,,,
CAN,Calcium ammonium nitrate,CA-NH4NO3,26,0,0,0,0,0,0,0,0,0,0,
C-compound,C-compound,,7,9.156,5.785,6,0,0,0,0,0,0,0,
CMP,Calcium Magnesium Phosphate,CaMgO4P+,0,7,0,0,0,23,0,0,12,0,0,
CN,Calcium nitrate,Ca(NO3)24H2O,15.5,0,0,0,0,19,0,0,0,0,0,
Copper frits,Copper frits,,,,,,,,45,,,,,
Copper polyflavonoid,Copper polyflavonoid,,,,,,,,6,,,,,
Copper sulfate monohydrate,Copper sulfate monohydrate,CuSO4.H2O,,,,,,,35,,,,,
Copper sulfate pentahydrate,Copper sulfate pentahydrate,CuSO4.5H2O,,,,,,,25,,,,,
Copper sulfate tribasic,Copper sulfate tribasic,CuSO4.3Cu(OH)2,,,,,,,33,,,,,
Crotonylidene diurea,Crotonylidene diurea,(CDU),32,0,0,0,,0,,,0,,,
Cu EDTA,Cu EDTA,,,,,,,,13,,,,,
Cu HEDTA,Cu HEDTA,,,,,,,,9,,,,,
Cupric ammonium phosphate,Cupric ammonium phosphate,Cu(NH4)PO4. H2O,,,,,,,30,,,,,
Cupric oxide,Cupric oxide,CuO,,,,,,,70,,,,,
CuSO4,Copper sulfate,,0,0,0,12.5,0,0,25.2,0,0,0,0,
DAP,Diammonium phosphate,[NH4]2HPO4,18,20.1,0,0,0,0,0,0,0,0,0,CHEBI_63051
DAS,Ammonium sulfate,[NH4]2SO4,21,0,0,24,0,0,0,0,0,0,0,CHEBI_62946
D-compound,D-compound,,10,20,10,9,0,0,0,0,0,0,0,
dolomitic-lime,dolomitic limestone,CaCO3 + MgCO3,0,0,0,0,0,27,0,0,9,0,0,
DSP,Double Super Phosphate,[NH4]2HPO4,18,20,0,0,0,0,0,0,0,0,0,
ERP,Ethiopian rock phosphate,,0,NA,0,0,0,0,0,0,0,0,0,
Fe DTPA,Fe DTPA,,,,,,,,,10,,,,
Fe EDDHA,Fe EDDHA,,,,,,,,,6,,,,
Fe EDTA,Fe EDTA,,,,,,,,,10.5,,,,
Fe HEDTA,Fe HEDTA,,,,,,,,,7,,,,
Ferric sulfate,Ferric sulfate,Fe2(SO4)3. 4H2O,,,,,,,,20,,,,
Ferrous ammonium phosphate,Ferrous ammonium phosphate,Fe(NH4)PO4. H2O,,,,,,,,29,,,,
Ferrous ammonium sulfate,Ferrous ammonium sulfate,(NH4)2SO4. FeSO4. 6H2O,,,,,,,,14,,,,
Ferrous carbonate,Ferrous carbonate,FeCO3. H2O,,,,,,,,42,,,,
Ferrous oxalate,Ferrous oxalate,FeC2O4. 2H2O,,,,,,,,30,,,,
Ferrous sulfate,Ferrous sulfate,FeSO4. 7H2O,,,,,,,,20,,,,
Fertilizer borate (sodium tetraborate),Fertilizer borate (sodium tetraborate),Na2B4O7,,,,,14,,,,,,,
FeSO4,Iron sulfate,,0,0,12,0,0,0,0,20,0,0,0,
Flowable sulfur,Flowable sulfur,S,0,0,0,61,,0,,,0,,,
Flowers of sulfur,Flowers of sulfur,S,0,0,0,95,,0,,,0,,,
FOMIBAGARA,Burundi product,,11,0,18.26,NA,NA,NA,NA,NA,NA,NA,NA,
FOMIIMBURA,Burundi product,,9,9.68,3.32,NA,NA,NA,NA,NA,NA,NA,NA,
FOMITOTAHAZA,Burundi product,,21,0,6.64,NA,NA,NA,NA,NA,NA,NA,NA,
Greensand,Greensand,,0,0.4364,4.981,0,,0,,,0,,,
GRP,Gafsa rock phosphate,,0,NA,0,0,0,0,0,0,0,0,0,
gypsum,Gypsum,CaSO4 . 2H2O,0,0,0,19,0,22,0,0,0,0,0,CHEBI_48838
H3BO3,Boric acid,H3BO3,0,0,0,0,17.48,0,0,0,0,0,0,
Hydrated lime,Hydrated lime,Ca(OH)2,0,0,0,0,,50,,,0,,,
Iron Frits,Iron Frits,,,,,,,,,40,,,,
Iron ligninsulfonate,Iron ligninsulfonate,,,,,,,,,8,,,,
Iron polyflavonoid,Iron polyflavonoid,,,,,,,,,8,,,,
iron slag,Basic slag (iron-bearing),,,,,,,,,11.5,,,,
Isobutylidene diurea,Isobutylidene diurea,(IBDU),31,0,0,0,,0,,,0,,,
KCl,Potassium chloride,KCl; Muriate of potash (MOP),0,0,49.8,0,0,0,0,0,0,0,0,CHEBI_32588
KMgS,"K, Mg, S blend",,0,0,18,22,0,0,0,0,11,0,0,
KNO,Potassium nitrate,KNO3,13,0,44,0,0,0,0,0,0,0,0,CHEBI_63043
L-compound,L-compound,,5,17,10,6,0.1,0,0,0,0,0,0,
lime,limestone,,0,0,0,0,0,NA,0,0,NA,0,0,ENVO_00002053
Magnesium ammonium phosphate,Magnesium ammonium phosphate,MgNH4PO4. 6H2O,8,17.46,0,0,,0,,,15,,,
Magnesium borate,Magnesium borate (boracite),2Mg3B8O15. MgCl2,,,,,21,,,,,,,
Magnesium oxide,Magnesium oxide,MgO,0,0,0,0,,0,,,45,,,
Magnesium sulfate,Magnesium sulfate,(Kieserite) MgSO4. H2O,0,0,0,23,,0,,,17,,,
Magnesium sulfate (epsom salt),Magnesium sulfate (epsom salt),MgSO4. 7H2O,0,0,0,13,,0,,,10,,,
Manganese ammonium phosphate,Manganese ammonium phosphate,Mn(NH4)PO4. H2O,,,,,,,,,,28,,
Manganese carbonate,Manganese carbonate,MnCO3,,,,,,,,,,31,,
Manganese chelate Mn EDTA,Manganese chelate Mn EDTA,,,,,,,,,,,12,,
Manganese chloride,Manganese chloride,MnCl2,,,,,,,,,,17,,
Manganese frits,Manganese frits,,,,,,,,,,,17.5,,
Manganese oxide,Manganese oxide,MnO,,,,,,,,,,69,,
Manganese polyflavonoid,Manganese polyflavonoid,,,,,,,,,,,8,,
manganese slag,Basic slag (manganese-bearing),,,,,,,,,,,2,,
Manganese sulfate,Manganese sulfate,MnSO4. 4H2O,,,,,,,,,,24,,
MAP,Monoammonium phosphate (MAP),[NH4]H2PO4,11,26.9,0,0,0,0,0,0,0,0,0,
MgSO4,Magnesium sulfate,MgSO4,0,0,0,13.19,0,0,0,0,20.19,0,0,
Minjingu 1100,Tanzania guano,,0,13.9648,0,22.8704,0,0,0,0,1.8096,0,0,
Molybdenum frit,Molybdenum frit,,,,,,,,,,,,,
NaNO3,Sodium nitrate,,16.5,0,0,0,0,0,0,0,0,0,0,
NCaMg,YaraBela NITROMAG,,27,0,0,0,0,4.2,0,0,1.8,0,0,
NH3,Ammonium polyphosphate,NH3,82,0,0,0,0,0,0,0,0,0,0,
NH4Cl,Ammonium chloride,NH4Cl,26.2,0,0,0,0,0,0,0,0,0,0,
none,,,0,0,0,0,0,0,0,0,0,0,0,
NP,Nitrophosphate (Nitric phosphate),,25,9,0,,,,,,,,,
NPK,"N, P, K blend",,NA,NA,NA,0,0,0,0,0,0,0,0,AGRO_00002046
NPKBFeMgMnSZn,YaraMila COMPLEX,,12,4.84,10.8,8,0.015,0,0,0,1.89,0.02,0.02,
NPKBMgSZn,YaraMila HYDRAN,,19,1.76,11.4,1.9,0.1,0,0,0,0,0,0,
NPKMgSZn,YaraMila Star (YaraMila ACTYVA is similar),,21,7.48,1.8,12,0,0,0,0,0.28,0,0.15,
NPKS,"N, P, K, S blend",,8,21,7,4,0,0,0,0,0,0,0,
NPS,"N, P, S blend",,23,21,0,4,0,0,0,0,0,0,0,
PA,Phosphoric acid,H2PO5,0,0,24,0,0,0,0,0,0,0,0,
Phosphate rock,Phosphate rock,,0,8.073,0,0,,,,,,,,
PKS,"P, K, S blend",,0,NA,NA,NA,0,0,0,0,0,0,0,
Potassium carbonate (liquid),Potassium carbonate (liquid),K2CO3,0,0,28.23,0,,0,,,0,,,
Potassium carbonate (solid),Potassium carbonate (solid),K2CO3,0,0,39.85,0,,0,,,0,,,
Potassium magnesium sulfate,Potassium magnesium sulfate,,0,0,17.43,23,,0,,,11,,,
Potassium magnesium sulfate (sulfate of potash magnesia),Potassium magnesium sulfate (sulfate of potash magnesia),K2SO4. 2MgSO4 or MgSO4. K2SO4. 6H2O,0,0,17.43,23,,0,,,11,,,
Potassium metaphosphate,Potassium metaphosphate,KPO3,0,25.75,32.38,0,,0,,,0,,,
S,elemental sulphur,S,0,0,0,100,0,0,0,0,0,0,0,
S-compound,S-compound,,8,21,7,4,0,0,0,0,0,0,0,
SCU,Sulfur-Coated Urea,,39,0,0,13,0,0,0,0,0,0,0,
Selma chalk,Selma chalk,,0,0,0,0,,32,,,0,,,
Sodium molybdate,Sodium molybdate,Na2MoO4. 2H2O,,,,,,,,,,,,
Sodium nitrate (nitrate of soda),Sodium nitrate (nitrate of soda),NaNO3,16,0,0,0,,0,,,0,,,
Solubor,Solubor,Na2B4O7,,,,,20,,,,,,,
SOP,Potassium sulfate,K2SO4,0,0,41.5,18,0,0,0,0,0,0,0,CHEBI_32036
SR_urea,Slow-release urea,,46,0,0,0,0,0,0,0,0,0,0,CHEBI_16199
SSP,Superphosphate (single),Ca(H2PO4)2. x H2O + CaSO4,0,8.74,0,12,0,0,0,0,0,0,0,AGRO_00002064
Sulfuric acid,Sulfuric acid,H2SO4,0,0,0,23,,0,,,0,,,
SuperNitro,"various products, N content approximate",mixture,30,0,0,0,0,0,0,0,0,0,0,
Superphosphoric acid,Superphosphoric acid,H3PO4,0,33.17,0,0,,0,,,0,,,
sympal,Sympal,,0,23,15,4,0,0,0,0,0,0,0,
TSP,Triple superphosphate,,0,19.23,0,2,0,14,0,0,0,0,0,AGRO_00002065
UAN,Urea Ammonium Nitrate,,30,0,0,0,0,0,0,0,0,0,0,
unknown,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
urea,Urea,CO(NH2)2,46,0,0,0,0,0,0,0,0,0,0,CHEBI_16199
Urea (sulfur coated),Urea (sulfur coated),CO(NH2)2 + S,37,0,0,14.5,,0,,,0,,,
Urea phosphate,Urea phosphate,CO(NH2)2 + H3PO4,17,19.2,0,0,,0,,,0,,,
Urea-ammonium phosphate,Urea-ammonium phosphate,,23,15.27,0,0,,0,,,0,,,
Ureaform (urea + formaldehyde),Ureaform (urea + formaldehyde),,38,0,0,0,,0,,,0,,,
Wet-process phosphoric acid,Wet-process phosphoric acid,H3PO4,0,13.09,0,0,,0,,,0,,,
Wettable sulfur,Wettable sulfur,S,0,0,0,95,,0,,,0,,,
YaraBela NITROMAG,,NCaMg,27,0,0,0,0,4.2,0,0,1.8,0,0,
YaraBela Sulfan,,,25,0,0,11.5,0,7,0,0,0,0,0,
YaraMila ACTYVA,,NPKMgSZn,23,4.4,3,12,0,0,0,0,0.21,0,0.3,
YaraMila COMPLEX,,NPKBFeMgMnSZn,12,4.84,10.8,8,0.015,0,0,0,1.89,0.02,0.02,
YaraMila HYDRAN,,NPKBMgSZn,19,1.76,11.4,1.9,0.1,0,0,0,0,0,0,
YaraMila Star,,NPKMgSZn,21,7.48,1.8,12,0,0,0,0,0.28,0,0.15,
YaraVita Thiotrac,,,15,0,0,23,0,0,0,0,0,0,0,
ZAP,Zinc ammonium phosphate,Zn(NH4)PO4. H2O,,,,,,,,,,,34,
Zinc chelate,Zinc chelate (Na2Zn EDTA),Na2ZnEDTA,,,,,,,,,,,11.5,
Zinc ligninsulfonate,Zinc ligninsulfonate,,,,,,,,,,,,8.5,
Zinc oxide,Zinc oxide,ZnO,,,,,,,,,,,79,
Zinc polyflavonoid,Zinc polyflavonoid,,,,,,,,,,,,8.5,
Zinc sulfate monohydrate,Zinc sulfate monohydrate,ZnSO4.H2O,,,,,,,,,,,29,
Zinc sulfide,Zinc sulfide ( sphalerite),,,,,,,,,,,,61,
ZnCl2,Zinc chloride,,0,0,0,0,0,0,0,0,0,0,47.8,
ZnSO4,Zinc sulfate,ZnSO4,0,0,0,19.9,0,0,0,0,0,0,40.5,CHEBI_35176
,Concentrated wet-process phosphoric acid,H3PO4,0,20.51,0,0,,0,,,0,,,
