name,scientific_name,product_name,systemic,notes
(s)-kinoprene,,,,
abamectin,,,,
"abamectin, other related",,,,
acephate,,,,
acetamiprid,,,,
afidopyropen,,,,
aldrin,,,,
allethrin,,,,
"allethrin, other related",,,,
alpha-cypermethrin,,,,
alphamethrin,,,,
azadirachtin,,,,
"bacillus sphaericus 2362, serotype h5a5b, strain abts 1743 fermentation solids, spores and insecticidal toxins",,,,
bacillus thuringiensis (berliner),,,,
"bacillus thuringiensis (berliner), subsp. aizawai, gc-91 protein",,,,
"bacillus thuringiensis (berliner), subsp. aizawai, serotype h-7",,,,
"bacillus thuringiensis (berliner), subsp. israelensis, serotype h-14",,,,
"bacillus thuringiensis (berliner), subsp. kurstaki strain sa-12",,,,
"bacillus thuringiensis (berliner), subsp. kurstaki, serotype 3a,3b",,,,
"bacillus thuringiensis (berliner), subsp. kurstaki, strain eg 2348",,,,
"bacillus thuringiensis (berliner), subsp. kurstaki, strain sa-11",,,,
"bacillus thuringiensis ssp kurstaki, strain evb 113 19",,,,
"bacillus thuringiensis subsp. israelensis, strain sum-6218",,,,
bacillus thuringiensis subspecies kurstaki strain bmp 123,,,,
"bacillus thuringiensis subspecies kurstaki, genetically engineered strain eg7841 lepidopteran active toxin",,,,
"bacillus thuringiensis, subsp. aizawai, strain abts-1857",,,,
"bacillus thuringiensis, subsp. aizawai, strain sd-1372, lepidopteran active toxin(s)",,,,
"bacillus thuringiensis, subsp. israelensis, strain am 65-52",,,,
"bacillus thuringiensis, subsp. kurstaki, strain abts-351, fermentation solids and solubles",,,,
"bacillus thuringiensis, subsp. kurstaki, strain hd-1",,,,
"bacillus thuringiensis, var. kurstaki delta endotoxins cry 1a(c) and cry 1c (genetically engineered) encapsulated in pseudomonas fluorescens (killed)",,,,
beauveria bassiana hf 23,,,,
beauveria bassiana strain gha,,,,
beauveria bassiana strain ppri 5339,,,,
bendiocarb,,,,
beta-cyfluthrin,,,,
bifenthrin,,,,
boric acid,,,,
buprofezin,,,,
canola oil,,,,
carbaryl,,,,
carbofuran,carbamate,Furadan; Curaterr 10 GR,yes,
carbophenothion,,,,
cartab,,"Padan, Kritap, AG-Tap, Thiobel, and Vegetox",,
chlorantraniliprole,,,,
chlordane,,,,
chlordecone,,,,
chlorfenapyr,,,,
chlorpyrifos,,,,
chromobacterium subtsugae strain praa4-1,,,,
clarified hydrophobic extract of neem oil,,,,
clothianidin,,,,
clove oil,,,,
codling moth granulosis virus,,,,
cryolite,,,,
cyantraniliprole,,,,
cyclaniliprole,,,,
cyfluthrin,,,,
cypermethrin,,,,
cyromazine,,,,
d-allethrin,,,,
"d-allethrin, other related",,,,
DDT,Dichlorodiphenyltrichloroethane,,no,
ddvp,,,,
"ddvp, other related",,,,
deltamethrin,,,,
"deltamethrin, other related",,,,
diatomaceous earth,,,,
"diatomaceous earth, other related",,,,
diazinon,,,,
dichlorvos,x,,,
diflubenzuron,,,,
dimethoate,,,,
dinotefuran,,,,
disulfoton,,,,
d-trans allethrin,,,,
emamectin benzoate,,,,
endosulfan,x,,,
endosulfan,,,,
epn,,,,
esbiothrin,,,,
esfenvalerate,,,,
ethion,,,,
ethoprop,,,,
etofenprox,,,,
fenoxycarb,,,,
fenpropathrin,,,,
fenthion,,,,
fenvalerate,,,,
fipronil,,,,
flonicamid,,,,
flubendiamide,,,,
flupyradifurone,,,,
gamma-cyhalothrin,,,,
hexaflumuron,,,,
hydramethylnon,,,,
hydroprene,,,,
imidacloprid,,,yes,neonicotinoid
imiprothrin,,,,
indoxacarb,,,,
isaria fumosorosea strain fe 9901,,,,
kinoprene,,,,
lambdacyhalothrin,,,,
lambda-cyhalothrin,,,,
limonene,,,,
lindane,,,,
malathion,,,,
margosa oil,,,,
metaflumizone,,,,
metarhizium anisopliae strain f52,,,,
methidathion,,,,
methiocarb,,,,
methomyl,,,,
methoprene,,,,
methoxychlor,,,,
methoxyfenozide,,,,
methyl parathion,,,,
metofluthrin,,,,
mevinphos,,,,
"mevinphos, other related",,,,
milbemectin,,,,
mineral oil,,,,
naled,,,,
naphthalene,,,,
none,,,,
nosema locustae spores,,,,
novaluron,,,,
noviflumuron,,,,
oil of citronella,,,,
oxamyl,,,,
oxydemeton-methyl,,,,
para-dichlorobenzene,,,,
parathion,,,,
permethrin,,,,
"permethrin, other related",,,,
petroleum distillates,,,,
"petroleum oil, paraffin based",,,,
"petroleum oil, unclassified",,,,
phenothrin,,,,
"phenothrin, other related",,,,
phorate,,,,
phosmet,,,,
piperonyl butoxide,,,,
"piperonyl butoxide, other related",,,,
polyhedral occlusion bodies (ob's) of the nuclear polyhedrosis virus of helicoverpa zea (corn earworm),,,,
potash soap,,,,
potassium salt of hop beta acids,,,,
prallethrin,,,,
propetamphos,,,,
propoxur,,,,
pymetrozine,,,,
pyrethrins,,,,
pyridalyl,,,,
pyrifluquinazon,,,,
pyriproxyfen,,,,
quinalphos,,,,
resmethrin,,,,
"resmethrin, other related",,,,
ronnel,,,,
rotenone,,,,
"rotenone, other related",,,,
sabadilla alkaloids,,,,
s-bioallethrin,,,,
silica aerogel,,,,
s-methoprene,,,,
soap,,,,
sorbitol octanoate,,,,
soybean oil,,,,
spinetoram,,,,
spinosad,,,,
spirotetramat,,,,
sulfoxaflor,,,,
tau-fluvalinate,,,,
tebufenozide,,,,
temephos,,,,
tetrachlorvinphos,,,,
tetramethrin,,,,
"tetramethrin, other related",,,,
thiamethoxam,,,,
thyme oil,,,,
toxaphene,,,,
tralomethrin,,,,
trichlorfon,,,,
unknown,,,,
zeta-cypermethrin,,,,
