name,description
weather-related,
cold,
drought,
excess water,
flood,
hail,
heat,
frost,
fire,
theft,
shadow,
snow,
wind,
disease,
pests,
weeds,
locust,
farm animals,
wild animals,e.g. birds or rodents
birds,
rodents,
soil acidity,
soil salinity,
soil toxicity,
nutrient deficiency,
boron deficiency,
cadmium deficiency,
calcium deficiency,
iron deficiency,
magnesium deficiency,
manganese deficiency,
nitrogen deficiency,
phosphorus deficiency,
potassium deficiency,
sulfur deficiency,
zinc deficiency,
aluminium toxicity,
none,
other,
