name,type,unit,vocabulary,multiple_allowed,valid_min,valid_max,description,notes,obo
trial_id,character,,,no,,,Identifier of a single trial in a single location and season (that may have treatments and replicates), should be unique within dataset_id,
plot_id,character,,,no,,,Identifier of a single plot in a single trial in a single location and season,,
block_id,character,,,no,,,Identifier of a single block in a single trial in a single location and season,,
growth_stage,character,,,no,,,Growth stage description (code),,
LTE_name,character,,,no,,,Name of long-term experiment,,
season,character,,season,no,,,Season name,,
flooded,logical,,,no,,,Was the field flooded (most of the time?) --- is this lowland rice?,,AGRO_00000601
on_farm,logical,,,no,,,Is this observation on farm (not on an expermiment station),,AGRO_00000601
is_survey,logical,,,no,,,Is this observation from a survey (not an experiment),,
treatment,character,,,no,,,"Description of the treatment, if any. Can be a code used in the original data. There are no rules about its content or format",,AGRO_00000370
rep,integer,,,no,,,"Replication number (1, 2, 3, ...) For this specific observation",,AGRO_00000318
crop,character,,crop,no,,,Crop name(s),,AGRO_00000325
variety,character,,,no,,,Variety name,,
variety_alt,character,,,no,,,Alternative names for variety,,
variety_code,character,,,no,,,Variety code,,
variety_pedigree,character,,,no,,,Variety pedigree. E.g. CML311 x CML483,,
variety_type,character,,,no,,,"variety grouping (e.g. climbing/bush) and/or ""improved/landrace""",,AGRO_00000616
variety_traits,character,,,no,,,variety characteristics,,
variety_release_year,integer,,,no,,,year the variety was released,,
intercropped,logical,,,no,,,is the crop intercropped,,
intercrops,character,,crop,yes,,,Other crop grown together with the main crop,,
intercrop_type,character,,intercrop,yes,,,"Type of intercropping (e.g. mixed, strip)",,
previous_crop,character,,crop,yes,,,Crop grown on this plot in the prior season,,AGRO_00000592
crop_rotation,character,,crop,yes,,,Crops grown in rotation on this plot,,
cover_crop,character,,crop,yes,,,Crops grown as cover crop on this plot,,
cover_crop_used,logical,,,no,,,Are there cover crops grown on this plot?,,
emergence_date,date,,,no,,,"Emergence date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format",see emergence_days,
heading_date,date,,,no,,,"Heading date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format",,
flowering_date,date,,,no,,,"Flowering date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format",see flowering_days,
maturity_date,date,,,no,,,"Maturity date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format",see maturity_days,
dmy_roots,numeric,kg/ha,,no,0,5000,Dry-matter weight biomass of fine roots per ha,,
dmy_stems,numeric,kg/ha,,no,0,20000,Dry-matter weight biomass of stems per ha,,
dmy_leaves,numeric,kg/ha,,no,0,20000,Dry-matter weight biomass of leaves per ha,,
dmy_storage,numeric,kg/ha,,no,0,50000,Dry-matter weight biomass of storage organs per ha,,
dmy_total,numeric,kg/ha,,no,0,100000,Dry-matter weight total biomass per ha,,
dmy_residue,numeric,kg/ha,,no,0,100000,Dry-matter weight residue biomass per ha,,
fwy_roots,numeric,kg/ha,,no,0,5000,Fresh weight biomass of fine roots per ha,,
fwy_stems,numeric,kg/ha,,no,0,21000,Fresh weight biomass of stems per ha,,
fwy_leaves,numeric,kg/ha,,no,0,20000,Fresh weight biomass of leaves per ha,,
fwy_storage,numeric,kg/ha,,no,0,50000,Fresh weight biomass of storage organs per ha,,
fwy_total,numeric,kg/ha,,no,0,100000,Fresh weight total biomass per ha,,
fwy_residue,numeric,kg/ha,,no,0,100000,Fresh weight residue biomass per ha,,
yield_part,character,,yield_part,no,,,"The part of the crop that ""yield"" refers to (e.g. grain, tubers, roots, leaves, fruit)",,
yield,numeric,kg/ha,,no,0,150000,"Biomass of the main harvestable parts at maturity, per ha --- yield_moisture must also be specified",,AGRO_00000176 
yield_moisture,numeric,%,,no,0,90,Moisture content of the reported yield (0 is dry weight),,
yield_isfresh,logical,,,no,,,Is the reported yield fresh weight (perhaps with unknown moisture content?),,
yield_marketable,numeric,kg/ha,,no,0,150000,"Fresh weight marketable (e.g. large enough tubers) biomass of the main harvestable parts at maturity, per ha",,AGRO_00000176 
grain_fill,numeric,%,,no,0,100,% of grains that are filled,,
seed_weight,numeric,g,,no,0,1000,1000 seed (grain) weight,,TO_0000382
uncertainty,numeric,,,no,0,,Measure of noise in data ,,
uncertainty_type,character,,,no,,,Type of noise measure,,
row_spacing,numeric,cm,,no,1,180,Distance between rows,,AGRO_00000318
plot_area,numeric,m2,,no,1,350,Area of the plot in square meter,,AGRO_00000302
plot_length,numeric,m,,no,0.5,10,Length of the plot in meter,,AGRO_00000307
plot_width,numeric,m,,no,0.5,10,Width of the plot in meter,,AGRO_00000308
plot_slope,numeric,degrees,,no,0,45,Slope of the plot in degrees,,
plant_spacing,numeric,cm,,no,5,100,Distance between plants,,AGRO_00000316
plant_density,numeric,plants/ha,,no,500,3100000,Number of plants per ha that emerged/survived,,PCO_0000079
cob_density,numeric,cobs/ha,,no,500,5000000,Number of cobs (maize) per ha,,
spike_density,numeric,spikes/ha,,no,500,10000000,Number of spikes per ha,,
pod_density,numeric,pods/ha,,no,500,10000000,Number of pods per ha,,
rain,numeric,mm,,no,0,3000,Total rainfall between planting and harvest,,ENVO_01000830
emergence_days,numeric,days,,no,3,90,Days to emergence (after planting),Assumed to be the median number of days,
transplanting_days,numeric,days,,no,0,50,Days to transplanting,Assumed to be the median number of days,
heading_days,numeric,days,,no,25,300,Days to heading (after planting),Assumed to be the median number of days,
flowering_days,numeric,days,,no,15,250,Days to flowering (after planting),Assumed to be the median number of days,TO_0000344
anthesis_days,numeric,days,,no,30,150,Days to anthesis (after planting). Anthesis occurs when pollen is released,Assumed to be the median number of days,
silking_days,numeric,days,,no,30,150,Days to silking (after planting),Assumed to be the median number of days,
asi,numeric,days,,no,-30,30,Anthesis silking interval,Assumed to be the median number of days,
tassling_days,numeric,days,,no,30,125,Days to tassling (after planting),Assumed to be the median number of days,TO_0000629
maturity_days,numeric,days,,no,45,365,Days to maturity (after planting),Assumed to be the median number of days,TO_0000469
harvest_days,numeric,days,,no,45,365,Days to harvest (after planting),Assumed to be the median number of days,
plant_height,numeric,cm,,no,10,500,Maximum plant height,,TO_0000207
ear_height,numeric,cm,,no,10,350,height of first ear (maize female inflorescence),,
pathogen,character,,pathogen,yes,,,Name of the pathogen studied,,
AUDPC,numeric,,,no,0,150,Area under the disease progress curve (the sum of fraction infected (not percentage)),,
rAUDPC,numeric,,,no,0,1,Area under the disease progress curve divided by the non-diseased season length,,
