name,type,unit,vocabulary,multiple_allowed,valid_min,valid_max,description,notes,obo
leaf_N,numeric,mg/g,,no,10,600,nitrogen content in leaf,,TO_0000543
leaf_N_NH4,numeric,mg/g,,no,5,600,N (NH4) content in leaf,,
leaf_N_NO3,numeric,mg/g,,no,5,600,N (NO3) content in leaf,,
leaf_K,numeric,mg/g,,no,5,50,potassium content in leaf,,
leaf_P,numeric,mg/g,,no,1,50,phosphorous content in leaf,,TO_0001025
leaf_S,numeric,mg/g,,no,1,50,sulphur content in leaf,,
leaf_Mg,numeric,mg/g,,no,1,50,magnesium content in leaf,,
leaf_Ca,numeric,mg/g,,no,1,50,calcium content in leaf,,
leaf_Fe,numeric,mg/g,,no,1,50,iron content in leaf,,
leaf_Zn,numeric,mg/g,,no,1,50,zinc content in leaf,,
leaf_Cu,numeric,mg/g,,no,1,50,copper content in leaf,,
leaf_Mn,numeric,mg/g,,no,0.5,50,manganese content in leaf,,
leaf_B,numeric,mg/g,,no,0.5,50,boron content in leaf,,
leaf_Al,numeric,mg/g,,no,0.5,50,aluminium content in leaf,,
leaf_Na,numeric,mg/g,,no,0.1,50,sodium content in leaf,,
grain_N,numeric,mg/g,,no,10,600,nitrogen content in grain,,TO_0003068
grain_K,numeric,mg/g,,no,2,300,potassium content in grain,,TO_0003056
grain_P,numeric,mg/g,,no,1,10,phosphorous content in grain,,TO_0003082
grain_S,numeric,mg/g,,no,1,100,sulphur content in grain,,
grain_Mg,numeric,mg/g,,no,1,100,magnesium content in grain,,
grain_Ca,numeric,mg/g,,no,1,100,calcium content in grain,,
grain_Fe,numeric,mg/g,,no,1,100,iron content in grain,,
grain_Zn,numeric,mg/g,,no,0.01,10,zinc content in grain,,
grain_Cu,numeric,mg/g,,no,0.01,10,copper content in grain,,
grain_Mn,numeric,mg/g,,no,0.01,10,manganese content in grain,,
grain_B,numeric,mg/g,,no,0.01,10,boron content in grain,,
grain_Al,numeric,mg/g,,no,0.01,10,aluminium content in grain,,
grain_Na,numeric,mg/g,,no,1,100,,,
grain_Cl,numeric,mg/g,,no,1,100,,,
grain_Mo,numeric,mg/g,,no,1,100,,,
grain_C,numeric,mg/g,,no,1,100,,,
grain_Rb,numeric,mg/g,,no,1,100,,,
grain_Co,numeric,mg/g,,no,1,100,,,
 grain_Cd,numeric,mg/g,,no,1,100,,,
grain_protein,numeric,%,,no,1,60,% protein in grain,,
residue_protein,numeric,%,,no,1,30,,,
residue_N,numeric,mg/g,,no,1,500,nitrogen content in residue,,
residue_P,numeric,mg/g,,no,0.05,10,phosphorus content in residue,,
residue_K,numeric,mg/g,,no,1,100,,,
residue_Mg,numeric,mg/g,,no,0.1,100,,,
residue_Ca,numeric,mg/g,,no,0.1,100,,,
residue_Mn,numeric,mg/g,,no,0.01,10,,,
residue_Cu,numeric,mg/g,,no,0.01,10,,,
residue_Fe,numeric,mg/g,,no,0.01,10,,,
residue_Zn,numeric,mg/g,,no,0.01,10,,,
residue_Na,numeric,mg/g,,no,0.01,10,,,
residue_S,numeric,mg/g,,no,0.01,10,,,
residue_B,numeric,mg/g,,no,0.01,10,,,
residue_Mo,numeric,mg/g,,no,0.01,10,,,
residue_Cl,numeric,mg/g,,no,0.01,10,,,
residue_Al,numeric,mg/g,,no,0.01,10,,,
 residue_Ti,numeric,mg/g,,no,0.01,10,,,
residue_C,numeric,mg/g,,no,0.01,10,,,
residue_Cd,numeric,mg/g,,no,0.01,10,,,
residue_Pb,numeric,mg/g,,no,0.01,10,,,
residue_Rb,numeric,mg/g,,no,0.01,10,,,
root_N,numeric,mg/g,,no,0,,,,
root_K,numeric,mg/g,,no,0,,,,
root_Na,numeric,mg/g,,no,0,,,,
sugar_content,numeric,,,no,0,,,,
