name,type,unit,vocabulary,multiple_allowed,valid_min,valid_max,keep,description,notes,obo
sampled_plot_area,numeric,m2,,no,0,,no,,,
fw_biomass,numeric,g,,no,0,,no,fresh weight,,
fw_leaves,numeric,g,,no,0,,no,fresh weight,,
fw_stems,numeric,g,,no,0,,no,fresh weight,,
fw_roots,numeric,g,,no,0,,no,fresh weight,,
fw_tubers,numeric,g,,no,0,,no,fresh weight,,
fw_grain,numeric,g,,no,0,,no,fresh weight,,
subsample_fw_biomass,numeric,g,,no,0,,no,subsample used to determine humidity,,
subsample_fw_leaves,numeric,g,,no,0,,no,subsample used to determine humidity,,
subsample_fw_stems,numeric,g,,no,0,,no,subsample used to determine humidity,,
subsample_fw_roots,numeric,g,,no,0,,no,subsample used to determine humidity,,
subsample_fw_tubers,numeric,g,,no,0,,no,subsample used to determine humidity,,
subsample_fw_grain,numeric,g,,no,0,,no,subsample used to determine humidity,,
subsample_dw_biomass,numeric,g,,no,0,,no,subsample used to determine humidity,,
subsample_dw_leaves,numeric,g,,no,0,,no,subsample used to determine humidity,,
subsample_dw_stems,numeric,g,,no,0,,no,subsample used to determine humidity,,
subsample_dw_roots,numeric,g,,no,0,,no,subsample used to determine humidity,,
subsample_dw_tubers,numeric,g,,no,0,,no,subsample used to determine humidity,,
subsample_dw_grain,numeric,g,,no,0,,no,subsample used to determine humidity,,
dw_biomass,numeric,g,,no,0,,no,dry weight,,
dw_leaves,numeric,g,,no,0,,no,dry weight,,
dw_stems,numeric,g,,no,0,,no,dry weight,,
dw_roots,numeric,g,,no,0,,no,dry weight,,
dw_tubers,numeric,g,,no,0,,no,dry weight,,
dw_grain,numeric,g,,no,0,,no,dry weight,,
