name,type,unit,vocabulary,multiple_allowed,valid_min,valid_max,description,notes,obo
currency,character,,currency,no,,,currency used for prices,,
crop_price,numeric,currency/kg,,no,0,,current crop price when sold,,
crop_value,numeric,currency/ha,,yes,0,,value of crop product per ha,,
crop_amount_sold,numeric,kg,,yes,0,,amount of crop product sold,,
fertilizer_cost,numeric,currency/ha,,yes,0,,cost of fertilizer(s) per ha,,
fertilizer_app_cost,numeric,currency/ha,,yes,0,,cost of fertilizer application(s) per ha,,
fertilizer_price,numeric,currency/kg,,yes,0,,cost of fertilizer(s) per kg,,
fungicide_cost,numeric,currency/kg,,yes,0,,cost  of fungide used per ha,,
fungicide_app_cost,numeric,currency/ha,,yes,0,,cost of fungicide application per ha,,
harvest_cost,numeric,currency/kg,,no,0,,cost of harvest per ha,,
herbicide_cost,numeric,currency/ha,,yes,0,,cost of herbicide per ha,,
herbicide_app_cost,numeric,currency/ha,,yes,0,,cost of herbicide application per ha,,
herbicide_price,numeric,??,,yes,0,,herbicide price ,,
insecticide_price,numeric,??,,yes,0,,was an insecticide used?,,
insecticide_cost,numeric,currency/ha,,yes,0,,cost of insecticide per ha,,
insecticide_app_cost,numeric,currency/ha,,yes,0,,cost of insectide application per ha,,
irrigation_cost,numeric,currency/ha,,no,0,,Cost of irrigation per ha,,
land_prep_cost,numeric,currency/ha,,no,0,,"Land preparation (tillage) method used (including ""none"" = ""zero-tillage"")",,
OM_cost,numeric,currency/ha,,no,0,,cost per ha of  organic fertilizer(s),,
OM_transp_cost,numeric,currency/ha,,no,0,,cost per ha of  organic fertilizer(s) transport,,
OM_price,numeric,currency/kg,,no,0,,price paid for organic fertilizer(s) per kg,,
pesticide_cost,numeric,currency/ha,,no,0,,cost of pesticides per ha,,
planting_cost,numeric,currency/ha,,no,0,,cost of planting per ha,,
seed_cost,numeric,currency/ha,,no,0,,cost of  seed per ha,,
seed_price,numeric,currency/kg,,no,0,,price paid for seed per kg,,
transplanting_cost,numeric,currency/ha,,no,0,,cost of transplanting per ha,,
weeding_cost,numeric,currency/ha,,no,0,,cost of weeding per ha,,
planting_cost,numeric,currency/ha,,no,0,,cost of planting per ha,,
weeding_labour,numeric,person-days/ha,,no,0,,Person days used for weeding  per ha ,,
weeding_equiment_cost,numeric,currency/ha,,no,0,,cost of renting weeding equipment per ha,,
labour,numeric,person-days/ha,,no,0,,Person days used for all activities,,
equipment_cost,numeric,currency/ha,,no,0,,cost of renting all equipment per ha,,
fertilizer_labour,numeric,person-days/ha,,no,0,,Person days used for fertilizer application,,
variable_cost,numeric,currency/ha,,no,0,,total variable cost of production per ha,,
net_benefit,numeric,currency/ha,,no,0,,net benefit (crop value minus variable cost) per ha,,
market_type,character,,,no,,,,,
market_access,character,,,no,,,"Ability of households to participate in markets, influenced by distance, infrastructure, and information",,
market_distance,numeric,,,no,0,,Travel distance from the household to the nearest market or trading point,,
market_timeto,numeric,,,no,0,,Travel time from the household to the nearest market or trading point,,
