name,type,unit,vocabulary,multiple_allowed,valid_min,valid_max,NAok,description,notes,obo
dataset_id,character,,,no,,,no,"dataset identifier (normalized URI, that is: ""/"" replaced with ""_"")",,
record_id,integer,,,no,,,no,Unique identifier for each record in a dataset (sequence from 1 to n),,
date,date,,,no,,,yes,"Observation date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format",,
time,time,,,no,,,yes,"Observation time in ""hh:mm:ss"", ""hh:mm"", or ""hh"" format",,
reference,character,,,no,,,yes,The data source (in data compilations for meta analysis),,
DAP,integer,,,no,,,yes,Days after planting (relative time scale used in some crop experiments,,
DAE,integer,,,no,,,yes,Days after emergece (relative time scale used in some crop experiments),,
variable,character,,,no,,,yes,Variable name (for long format data or variable metadata),,
value,numeric,,,no,,,yes,Value (for long format data),,
method,character,,,no,,,yes,method used to obtain the values (for variable level metadata),,
