name,type,unit,vocabulary,multiple_allowed,valid_min,valid_max,description,notes,obo
location_id,character,,,no,,,location identifier,,
country,character,,country,no,,,Country name,,ENVO_00000009
adm1,character,,,no,,,First level administrative subdivision,follow GADM,ENVO_00000005
adm2,character,,,no,,,Second level administrative subdivision,follow GADM,ENVO_00000006
adm3,character,,,no,,,Third level administrative subdivision,follow GADM,ENVO_00000007
adm4,character,,,no,,,Fourth level administrative subdivision,follow GADM,ENVO_00000008
adm5,character,,,no,,,Fifth level administrative subdivision,follow GADM,
location,character,,,no,,,"Name of the location where the location was made. E.g., a place name or locality description.",,ENVO_00000114
site,character,,,no,,,Name of the sub-location where the observation was made,,
locality,character,,,no,,,locality description,,
longitude,numeric,degrees,,no,-180,180,Longitude of the location where the observation was made (in decimal notation),,
latitude,numeric,degrees,,no,-65,65,Latitude of the location where the observation was made (in decimal notation),,
geo_uncertainty,numeric,,,no,0,1000000,"Uncertainty of location, expressed as max distance from location (m)",,
location_area,character,,,no,,,"Location (and uncertainty) described as a WKT (multi-) polygon, using longitude/latitude",,
geo_from_source,logical,,,no,,,Are these coordinates from the data source?,,
elevation,numeric,meter,,no,-200,5000,Elevation above sea level,,
geo_source,character,,,no,,,source of the georeferences,,
