name,type,unit,vocabulary,multiple_allowed,valid_min,valid_max,NAok,description,notes,obo
dataset_id,character,,,no,,,no,id (normalized uri),,
uri,character,,,no,,,no,the uri of the dataset,,
authors,character,,,yes,,,no,dataset authors,,
title,character,,,no,,,no,title,,
description,character,,,no,,,no,description,,
license,character,,,no,,,no,license that comes with the data,,
data_citation,character,,,no,,,no,can be same as publication,,
data_type,character,,datatype,no,,,no,"what kind of data is this (e.g. experiment, survey, compilation)",,
treatment_vars,character,,,yes,,,no,"treatment variables (if data_type = trial/experiments; else ""none"")",,
response_vars,character,,,yes,,,no,"outcome variables (if data_type = trial/experiments; else ""none"")",,
publication,character,,,no,,,yes,the doi of the associated publication (if any),,
data_organization,character,,organization,yes,,,yes,organizational home(s) of the data providers,,
publisher,character,,,no,,,yes,organization that publishes  the data,,
date_published,date,,,no,,,yes,"date the data were published (""yyyy-mm-dd"")",,
version,character,,,no,,,yes,the dataset version number,,
project,character,,,no,,,yes,project that this dataset belongs to (if any),,
notes,character,,,no,,,yes,notes about data quality issues in the dataset,,
design,character,,,no,,,yes,short description of the experimental or survey design,,
