name,type,unit,vocabulary,multiple_allowed,valid_min,valid_max,description,notes,obo
sample_id,character,,,no,,,unique identifier of a soil sample,,
depth,numeric,cm,,no,0,300,depth of soil sample,,
depth_top,numeric,cm,,no,0,200,depth of soil sample (top; e.g. 0),,
depth_bottom,numeric,cm,,no,0,200,depth of soil sample (bottom; e.g 20),,
soil_depth,numeric,cm,,no,0,200,soil depth (not the sampling depth),,
soil_type,character,,,yes,,,soil name or description,,AGRO_00010099
soil_pH,numeric,,,no,2,10,soil pH (H2O),,ENVO_09200010
soil_pH_KCl,numeric,,,no,2,10,soil pH (KCl),,ENVO_09200010
soil_pH_CaCl2,numeric,,,no,2,10,soil pH (CaCl2),,ENVO_09200010
soil_sand,numeric,%,,no,0,100,soil sand content (excluding gravel),,
soil_clay,numeric,%,,no,0,100,soil clay content (excluding gravel),,ENVO_00002982
soil_silt,numeric,%,,no,0,100,soil silt content (excluding gravel),,
soil_texture,character,,soil_texture,yes,,,soil texture,,
soil_sand_coarse,numeric,%,,no,0,60,coarse soil sand (0.5 - 2 mm) content (excluding gravel),,
soil_sand_medium,numeric,%,,no,0,50,medium soil sand  (0.25 - 0.5 mm) content (excluding gravel),,
soil_sand_fine,numeric,%,,no,0,50,fine soil sand (0.106/0.125  - 0.25 mm) content (excluding gravel),,
soil_sand_veryfine,numeric,%,,no,0,50,very fine soil sand (0.05/0.0625 - 0.106/0.125 mm) content (excluding gravel),,
soil_silt_coarse,numeric,%,,no,0,50,coarse soil silt (0.05 - 0.106 mm)  content (excluding gravel),,
soil_silt_fine,numeric,%,,no,0,50,fine soil silt  (0.002 - 0.02 mm) content (excluding gravel),,
soil_gravel,numeric,%,,no,0,50,gravel (2 - 75 mm) content,,
soil_stones,numeric,%,,no,0,90,large stones fraction,,
soil_SOM,numeric,%,,no,0,20,soil organic matter,,
soil_C_inorg,numeric,%,,no,0.01,20,inorganic soil C content,,
soil_C_total,numeric,%,,no,0.01,20,total soil C content (organic and inorganic),,
soil_SOC,numeric,%,,no,0,30,soil organic carbon,,
soil_C_stock,numeric,g/m2,,no,0,1000,total C stock in soil,,
soil_C_litter,numeric,g/m2,,no,0,1000,total C stock in litter,,
soil_N,numeric,mg/kg,,no,0.01,10000,extractable soil N content,,ENVO_09000017
soil_NO3,numeric,mg/kg,,no,0.01,10000,soil NO3 content,,ENVO_09000017
soil_NH4,numeric,mg/kg,,no,0.01,10000,soil NH4 content,,ENVO_09000017
soil_K,numeric,mg/kg,,no,1,10000,extractable soil K content,,
soil_K_exch,numeric,cmol(+)/kg,,no,,,exchangeable soil K content,,
soil_P,numeric,mg/kg,,no,0.01,200,extractable soil P,,
soil_P_method,character,,,no,,,"method used for P extraction (to allow multiple methods in a single dataset; otherwise this can be recored as ""variable metadata""",,
soil_P_total,numeric,mg/kg,,no,0.4,1000,total soil P,,
soil_Ca,numeric,mg/kg,,no,1,10000,extractable soil Ca content,,
soil_Ca_exch,numeric,cmol(+)/kg,,no,,,exchangeable soil Ca content,,
soil_Mg,numeric,mg/kg,,no,1,10000,extractable soil Mg content,,
soil_Mg_exch,numeric,cmol(+)/kg,,no,,,exchangeable soil Mg content,,
soil_B,numeric,mg/kg,,no,0,500,extractable soil B content,,
soil_Cu,numeric,mg/kg,,no,0,500,extractable soil Cu content,,
soil_Mn,numeric,mg/kg,,no,0,3000,extractable soil Mn content,,
soil_Mo,numeric,mg/kg,,no,0,3000,extractable soil Mo content,,
soil_Fe,numeric,mg/kg,,no,0,20000,extractable soil Fe content,,
soil_S,numeric,mg/kg,,no,0,500,extractable soil S content,,
soil_Zn,numeric,mg/kg,,no,0,200,extractable soil Zn content,,
soil_Na,numeric,mg/kg,,no,1,650,extractable soil Na content,,
soil_Na_exch,numeric,cmol(+)/kg,,no,,,exchangeable soil Na content,,
soil_Al,numeric,mg/kg,,no,0,3500,extractable soil Al content,,
soil_Al_exch,numeric,cmol(+)/kg,,no,,,exchangeable soil Al content,,
soil_H_exch,numeric,cmol(+)/kg,,no,,,exchangeable soil H content,,
soil_EC,numeric,mS/cm,,no,0,20,soil electric conductivity,,
soil_bd,numeric,g/cm^-3,,no,0,20,soil bulk density,,
soil_ECEC,numeric,cmol/kg,,no,0,200,Effective Cation Exchange Capacity,,
soil_BS,numeric,%,,no,0,100,Base saturation,,
soil_CEC,numeric,cmol(+)/kg,,no,0,200,Cation Exchange Capacity,,
soil_acidity_sat,numeric,%,,no,0,100,Acidity saturation,,
soil_color,character,,,no,,,soil color,,
soil_quality,character,,,no,,,soil quality preception,,
landscape_position,character,,,no,,,Relative landscape position,,
land_form,character,,,no,,,"E.g. flat, terraced",,
soil_constraint,character,,,no,,,soil constraint (e.g. saline),,
soil_PSI,numeric,,,no,,,phosphorous sorption index,,
soil_ex_acidity,numeric,cmol/kg,,no,,,"soil exchangeable acidity (""hp"")",,
soil_aluminium_toxicity,logical,,,no,,,was the soil Al concentration toxic for the crop?,,
soil_Al_sat,numeric,%,,no,0,100,soil Al saturation (% of ECEC),,
soil_WHC_sat,numeric,%,,no,0,100,% of soil water holding capacity that is filled,,
soil_drainage,character,,soil_drainage,no,,,soil drainage class ,,
soil_microbial_activity_category,character,,,no,,,microbial activity variable name (for use in long format),,
soil_microbial_activity_value,numeric,,,no,,,microbial activity value (for use in long format),,
soil_MBC,numeric,,,no,,,soil microbial biomass carbon,,
soil_GWC,numeric,,,no,,,gravimetric water content,,
soil_CaCO3,numeric,g/kg,,no,,,soil CaCO3 content (in calcareous soils),,
soil_B_total,numeric,mg/kg,,no,0,500,total soil B content,,
soil_Mn_total,numeric,mg/kg,,no,0,6000,total soil Mn content,,
soil_Mg_total,numeric,mg/kg,,no,0,30000,total soil Mg content,,
soil_Mo_total,numeric,mg/kg,,no,,,total soil Mo content,,
soil_N_total,numeric,mg/kg,,no,0.01,10000,total soil N content,,ENVO_09000017
soil_Fe_total,numeric,mg/kg,,no,0.01,200000,total soil Fe content,,ENVO_09000017
soil_Cd_total,numeric,mg/kg,,no,,,total soil Cd content,,
soil_Pb_total,numeric,mg/kg,,no,,,total soil Pb content,,
soil_V_total,numeric,mg/kg,,no,,,total soil V (vanadium) content,,
soil_Hg_total,numeric,mg/kg,,no,,,total soil Hg content,,
soil_Cr_total,numeric,mg/kg,,no,,,total soil Cr (cromium) content,,
soil_Co_total,numeric,mg/kg,,no,,,total soil Co content,,
soil_K_total,numeric,mg/kg,,no,,,total soil K content,,
soil_Ni_total,numeric,mg/kg,,no,,,total soil Ni content,,
soil_Cu_total,numeric,mg/kg,,no,,,total soil Cu content,,
soil_Zn_total,numeric,mg/kg,,no,,,total soil Zn content,,
soil_As_total,numeric,mg/kg,,no,,,total soil As content,,
soil_S_total,numeric,mg/kg,,no,,,total soil S content,,
soil_Sb_total,numeric,mg/kg,,no,,,total soil Sb (antimony) content,,
soil_CO2,numeric,(g/cm2)/day,,no,,,CO2 emitted from soil,,
soil_N2O,numeric,(mg (N) m2)/day,,no,,,N2O emitted from soil,,
soil_NO,numeric,(mg (N) m2)/day,,no,,,NO emitted from soil,,
soil_protein,numeric,,,no,,,,,
soil_FC,numeric,,,no,,,Field capacity,,
soil_PWP,numeric,,,no,,,Permanent Wilting Point,,
