name,type,unit,vocabulary,multiple_allowed,valid_min,valid_max,description,notes,obo
hhid,character,,,no,,,household id,,
hh_size,numeric,,,no,0,50,number of people in the household,,
hh_adult_women,numeric,,,no,0,50,number of adult women in the houshold (18 year or older),,
hh_adult_men,numeric,,,no,0,50,number of adult men in the houshold (18 year or older),,
hh_child_5,numeric,,,no,0,50,number of children in the houshold that are younger than 5 years old,,
hh_child_18,numeric,,,no,0,50,number of children in the houshold that are younger than 18 years old,,
hh_elders,numeric,,,no,0,50,number of elderly household members (>65 years old),,
hh_elder_women,numeric,,,no,0,50,number of elderly women in household (>65 years old),,
hh_elder_men,numeric,,,no,0,50,number of elderly men in household (>65 years old),,
dependency,numeric,,,no,0,1,"Ratio of economically dependent members (children, elderly) to working-age members",,
is_head,logical,,,no,,,the respondent is identified as the household head (main decision-maker or primary earner),,
age,numeric,year,,no,12,,age of  the respondrent (farmer) or other identified individual,,
sex,character,,,no,,,sex of the respondent (male/female) or other identified individual,,
education,character,,,no,,,education level attained by the respondrent (farmer) or other identified individual,,
civil_status,character,,,no,,,civil status of the respondrent (farmer) or other identified individual,,
religion,character,,,no,,,religion of ther respondrent (farmer) or other identified individual,,
occupation,character,,,no,,,,,
hh_income,numeric,currency/year,,no,,,total household income,,
hh_income_source,character,,,no,,,sources of income,,
farmland,numeric,ha,,no,0,,amount of farmland managed by the household,,
farmland_owned,numeric,ha,,no,0,,amount of farmland owned by the household,,
farmland_rentedin,numeric,ha,,no,0,,amount of farmland rented in by the household,,
farmland_rentedout,numeric,ha,,no,0,,amount of farmland rented out by the household,,
cropland,numeric,ha,,no,0,,amount of cropland managed by the household,,
cropland_used,numeric,ha,,no,0,,amount of cropland used by the household,,
cropland_owned,numeric,ha,,no,0,,amount of cropland owned by the household,,
cropland_rentedin,numeric,ha,,no,0,,amount of cropland rentedin by the household,,
cropland_rentedout,numeric,ha,,no,0,,amount of cropland rentedout by the household,,
grassland,numeric,ha,,no,0,,amount of grassland managed by the household,,
grassland_owned,numeric,ha,,no,0,,amount of grassland owned by the household,,
grassland_rentedin,numeric,ha,,no,0,,amount of grassland rentedin by the household,,
grassland_rentedout,numeric,ha,,no,0,,amount of grassland rentedout by the household,,
communal_land,numeric,ha,,no,0,,amount of communal land the household has access to,,
land_irrigated,numeric,ha,,no,0,,amount of land that can be irrigated,,
land_ownedby,character,,,no,,,who owns the land?,,
land_tenure,character,,,no,,,land tenure type,,
plot_labour,numeric,,,no,0,,Number of days per year spent working on the plot (single crop if there are multiple),,
farm_labour,numeric,,,no,0,,Number of days per year spent working on the farm,,
plot_labour_hh,numeric,,,no,0,,Number of days per year spent working on the plot (single crop if there are multiple) contributed by household members without explicit wages,,
farm_labour_hh,numeric,,,no,0,,Number of days per year spent working on the farm contributed by household members without explicit wages,,
plot_labour_hired,numeric,,,no,0,,Number of days per year spent working on the plot (single crop if there are multiple) by workers  from outside the household in exchange for cash or in-kind payment,,
farm_labour_hired,numeric,,,no,0,,Number of days per year spent working on the farm by workers  from outside the household in exchange for cash or in-kind payment,,
plot_labour_exchange,numeric,,,no,0,,Number of days per year spent working on the plot (single crop if there are multiple) trough reciprocal labor arrangements between households without monetary payment,,
farm_labour_exchange,numeric,,,no,0,,Number of days per year spent working on the farm trough reciprocal labor arrangements between households without monetary payment,,
offfarm_labour,numeric,,,no,0,,"Number of days pe ryear spent working off the farm, for someone else",,
offfarm_selfemployed,numeric,,,no,0,,"Number of days per year spent working off the farm, self-employed",,
livestock_labour,numeric,,,no,0,,Number of days per year spent tending livestock,,
cooperative_member,logical,,,no,,,is the household member of an agricultural cooperative,,
cooperative_product,character,,,no,,,what is the product purchased by the cooperative ,,
housing_quality,character,,,no,,,"Physical characteristics of the dwelling, including materials used for walls, roof, and floor",,
electricity,logical,,,no,,,Whether the household has access to an electrical power supply,,
water_source,character,,,no,,,"Origin of water used by the household for drinking, cooking, and other domestic uses",,
sanitation,character,,,no,,,Facilities and practices for managing human excreta and maintaining hygiene,,
field_id,character,,,no,,,identifier of a particular field within a farm/household,,
field_size,numeric,ha,,no,0,,size of the particular field,,
field_distance,numeric,,,no,0,,Physical distance from the household dwelling to the plot,,
expected_yield,numeric,kg/ha,,no,0,,,,
credit_access,logical,,,no,0,,does the household have access to credit,,
