name,type,unit,vocabulary,multiple_allowed,valid_min,valid_max,description,notes,obo
station_id,character,,,no,,,ID of the weather stations,,
station_name,character,,,no,,,name of the weather station,,
prec,numeric,mm,,no,0,1000,precipitation,,
temp,numeric,C,,no,-50,60,(average) temperature,,
tmin,numeric,C,,no,-50,60,minimum temperature,,
tmax,numeric,C,,no,-50,60,maximum temperature,,
dewp,numeric,C,,no,-50,60,dew-point temperature,,
rhum,numeric,%,,no,0,100,relative humidity,,
rhmn,numeric,%,,no,0,100,minimum relative humidity,,
rhmx,numeric,%,,no,0,100,maximum relative humidity,,
vapr,numeric,hPa,,no,0,,vapour pressure,,
irad,numeric,J s-1 m-2,,no,0,,mean solar radiation,,
srad,numeric,kJ m2,,no,0,,total daily solar radiation,,
wspd,numeric,m/s,,no,0,25,wind speed,,
wspdmx,numeric,m/s,,no,0,50,maximum wind speed,,
wdir,numeric,degrees,,no,0,360,wind direction,,
wgst,numeric,m/s,,no,0,25,wind gust,,
ETo,numeric,mm/day,,no,0,10,reference evapotranspiration,,
ETP,numeric,mm/day,,no,0,10,evapotranspiration,,
